id_,first_name,last_name,gender,country,phone,designation,ship_or_harbour_id,year_of_joining,qualification
531607,Jay,Ashley,Male,China,533-700-4092,Port Operations Manager,18576,2004,Maritime Transportation Management Degree
502156,Brandon,Johnson,Male,Bhutan,001-291-454-1926x253,Crane,18651,1972,Marine Engineering Degree
549575,Aaron,Reed,Male,Tunisia,4913647954,Harbor Master,18579,2023,Electrical Engineering Degree (for electrical systems aboard ships)
538438,Matthew,Mcdaniel,Male,Bosnia and Herzegovina,(619)620-5065,Port Security Officer,18564,1974,Port Management Degree
538379,Charles,Sosa,Male,Tunisia,868-394-4243,Port CaptainDock Master,18652,2021,Logistics and Supply Chain Management Degree
524595,Tanner,Hernandez,Male,Taiwan,520-383-9808x9514,Harbor Master,18661,2016,Nautical Science Degree
502973,James,Morgan,Male,Italy,349-236-6096x40665,Port Engineer,18695,2013,Mechanical Engineering Degree (for engineering roles aboard ships)
531284,Brandon,Brown,Male,Cote d'Ivoire,+1-746-687-8501,Port Engineer,18613,1980,Environmental Science Degree (for roles related to pollution control and prevention)
526942,Brandon,Navarro,Male,Spain,001-970-680-4281x571,Marine Surveyor,18539,1992,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
521115,John,Collier,Male,Egypt,(306)333-7659x7424,Crane,18657,1990,Marine Biology Degree (for roles related to environmental monitoring)
516034,David,Anderson,Male,Gambia,+1-462-804-1424x801,Stevedore,18657,2014,Industrial Safety Degree (for safety management in maritime environments)
519803,Kevin,Barber,Male,Monaco,399-598-8210x6905,Harbor Master,18593,1972,International Business Degree (useful for port management and operations)
514694,William,Hogan,Male,Guadeloupe,+1-934-743-3926x47075,Port Security Officer,18639,2006,Maritime Law Degree
534153,Dale,Parker,Male,Uruguay,+1-319-328-9100x49729,Harbor Master,18556,1996,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
520151,Jose,Hobbs,Male,Micronesia,001-796-643-0138x08686,Port Engineer,18638,1994,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
543135,Rodney,Rodgers,Male,Luxembourg,956.341.0417x65367,Port CaptainDock Master,18560,2021,Civil Engineering Degree (for harbor construction and maintenance)
545972,Thomas,Mora,Male,Korea,480.426.0854x1984,Port Engineer,18625,1993,Maritime Transportation Management Degree
540904,James,Garza,Male,Congo,518.679.2511,Pilot,18608,1971,Mechanical Engineering Degree (for engineering roles aboard ships)
541728,Richard,Jones,Male,Niger,(344)448-7854x6535,Harbor Master,18562,2020,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
506411,Steven,Martinez,Male,Guinea,548-620-3174x1066,Port Engineer,18537,1985,Nautical Science Degree
540480,Samuel,Garrett,Male,Korea,526-738-9232x62919,Harbor Master,18628,1974,Marine Engineering Degree
540408,Tony,Young,Male,Ireland,351.552.9184x95327,Pilot,18646,2008,Maritime Studies Degree
530825,Eric,Tapia,Male,Burundi,+1-674-572-2671,Port Security Officer,18683,1995,Industrial Safety Degree (for safety management in maritime environments)
534400,Daniel,Gonzalez,Male,Romania,2337252689,Marine Surveyor,18592,2006,Port Management Degree
542406,Michael,Smith,Male,Australia,(848)762-7642,Port CaptainDock Master,18665,1989,Port Management Degree
525641,Gregory,Becker,Male,Falkland Islands (Malvinas),001-567-579-3043x531,Crane,18691,2003,Industrial Safety Degree (for safety management in maritime environments)
535176,Charles,Hoover,Male,India,+1-867-975-7681x35640,Port Engineer,18672,1972,Logistics and Supply Chain Management Degree
504855,Vincent,Velasquez,Male,Nepal,368-737-5600x9610,Crane,18590,2015,Maritime Transportation Management Degree
518001,David,Baker,Male,Monaco,001-888-775-6490,Marine Surveyor,18694,2018,Maritime Law Degree
523238,John,Welch,Male,Guyana,+1-860-825-6584x4049,Crane,18684,2021,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
523852,Anthony,Hanson,Male,Rwanda,(823)347-2148,Pilot,18549,2021,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
536532,Clifford,Patrick,Male,Macao,001-222-530-1091x782,Port Engineer,18528,1994,Mechanical Engineering Degree (for engineering roles aboard ships)
502237,Henry,Austin,Male,Slovenia,497-715-4487x9371,Pilot,18585,2003,Industrial Safety Degree (for safety management in maritime environments)
506545,Frank,Rivera,Male,Cayman Islands,001-350-399-8928x88789,Harbor Master,18683,2014,Marine Biology Degree (for roles related to environmental monitoring)
548613,Jeremy,Finley,Male,Korea,001-682-938-3423x93708,Stevedore,18504,1973,Computer Science or Information Technology Degree (for roles involving maritime software development or IT support)
506140,Kenneth,Lopez,Male,Antigua and Barbuda,564.975.0443,Port Security Officer,18571,2009,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
528296,Kevin,Davidson,Male,Saudi Arabia,(999)654-0958x303,Stevedore,18545,1995,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
509064,Mason,Phillips,Male,Indonesia,307-512-4369x38753,Marine Surveyor,18548,1980,Civil Engineering Degree (for harbor construction and maintenance)
546071,Aaron,Johnson,Male,Iceland,001-406-313-7954x380,Stevedore,18672,1974,Environmental Science Degree (for roles related to pollution control and prevention)
544895,Christopher,Lopez,Male,Guinea,(640)593-8963x45794,Port Security Officer,18576,2008,Electrical Engineering Degree (for electrical systems aboard ships)
511855,Andrew,Jackson,Male,Turks and Caicos Islands,+1-329-949-1513x0672,Marine Surveyor,18670,1987,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
511144,Zachary,May,Male,Libyan Arab Jamahiriya,503.618.5262,Port Engineer,18613,1980,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
537409,Christopher,Wright,Male,Madagascar,2925586651,Port Operations Manager,18629,1996,Industrial Safety Degree (for safety management in maritime environments)
546206,John,Castro,Male,Guadeloupe,001-572-465-3491x588,Marine Surveyor,18501,1995,International Business Degree (useful for port management and operations)
526872,Joel,Sanchez,Male,Slovenia,+1-778-875-8658x9279,Stevedore,18693,2012,Mechanical Engineering Degree (for engineering roles aboard ships)
523460,Glenn,Williams,Male,Saint Kitts and Nevis,406.652.1705,Port Security Officer,18575,2003,Marine Engineering Degree
534851,Stephen,Johnson,Male,Seychelles,+1-372-632-3905x934,Harbor Master,18652,2012,Environmental Science Degree (for roles related to pollution control and prevention)
504659,Alan,Robertson,Male,Italy,001-745-233-5076x389,Marine Surveyor,18598,1999,Computer Science or Information Technology Degree (for roles involving maritime software development or IT support)
541763,Raymond,House,Male,Korea,585-742-9331x525,Crane,18608,1986,Port Management Degree
531645,Derek,Nash,Male,Congo,(581)898-8718x4762,Marine Surveyor,18529,1975,International Business Degree (useful for port management and operations)
541623,Matthew,Davis,Male,Nauru,570-949-2680,Harbor Master,18584,1973,Computer Science or Information Technology Degree (for roles involving maritime software development or IT support)
522522,Ryan,Blake,Male,Mauritania,769-784-7882,Stevedore,18665,1977,Logistics and Supply Chain Management Degree
524263,Anthony,Reese,Male,Macao,391-576-1593x47030,Crane,18662,2014,Maritime Studies Degree
532740,James,Henry,Male,Seychelles,001-205-235-8587x7333,Pilot,18693,1983,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
548756,Michael,Vega,Male,Saint Kitts and Nevis,387.938.9828x5721,Port Operations Manager,18668,1972,Maritime Law Degree
530601,Richard,Mayo,Male,British Virgin Islands,001-252-981-4639x29936,Pilot,18628,1981,Maritime Law Degree
521866,Collin,Johnson,Male,Germany,348-215-6333,Port CaptainDock Master,18615,2017,Maritime Studies Degree
508795,Benjamin,Odonnell,Male,Somalia,001-433-204-3132,Marine Surveyor,18686,1987,Marine Engineering Degree
521803,Tyler,Hickman,Male,Vanuatu,+1-831-952-4870x94701,Port Engineer,18529,1993,Civil Engineering Degree (for harbor construction and maintenance)
542833,Joseph,Murphy,Male,Nauru,+1-856-345-7238x530,Stevedore,18669,2018,Electrical Engineering Degree (for electrical systems aboard ships)
504957,Thomas,Brooks,Male,Zambia,738.660.3176,Stevedore,18595,2020,Industrial Safety Degree (for safety management in maritime environments)
520990,Ruben,Rodriguez,Male,Taiwan,757-541-0672,Pilot,18684,2007,Logistics and Supply Chain Management Degree
511245,Corey,Black,Male,Benin,+1-308-780-2502x970,Port Operations Manager,18606,2005,Marine Biology Degree (for roles related to environmental monitoring)
517584,Pedro,Jenkins,Male,Jordan,826.403.7804x220,Stevedore,18575,2016,Maritime Studies Degree
535647,Cody,Russo,Male,Burundi,833-893-0310,Port Engineer,18594,1975,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
517225,Joseph,James,Male,United States of America,+1-804-325-7179x42576,Port Engineer,18545,2007,Nautical Science Degree
548195,Brandon,Washington,Male,Papua New Guinea,(963)380-5862x6876,Port Operations Manager,18687,2002,Marine Biology Degree (for roles related to environmental monitoring)
532971,John,Thompson,Male,Anguilla,6109944367,Port Security Officer,18537,1994,Logistics and Supply Chain Management Degree
510581,William,Roberts,Male,United States of America,226.264.4299x962,Crane,18501,1979,Marine Engineering Degree
537994,Anthony,Hall,Male,Gambia,310-370-9500x677,Stevedore,18681,1976,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
512847,Christopher,Arnold,Male,Bermuda,+1-410-263-3187,Harbor Master,18504,2018,Nautical Science Degree
529312,Gary,Barnes,Male,Saint Martin,654.356.4258,Harbor Master,18658,1977,Port Management Degree
512204,Paul,Todd,Male,Georgia,999.294.7862x672,Stevedore,18548,2001,Environmental Science Degree (for roles related to pollution control and prevention)
524084,Joseph,Franklin,Male,Greenland,(800)856-2002,Stevedore,18569,2008,Nautical Science Degree
542145,Lawrence,Hudson,Male,Cuba,001-377-341-3715x3678,Stevedore,18529,2018,Electrical Engineering Degree (for electrical systems aboard ships)
543826,Anthony,Moore,Male,Saint Lucia,550.373.5044x85773,Port CaptainDock Master,18531,2021,Marine Biology Degree (for roles related to environmental monitoring)
545832,Jonathan,Lawson,Male,United States Minor Outlying Islands,001-632-220-0942x37859,Harbor Master,18641,2019,Logistics and Supply Chain Management Degree
519646,Anthony,Stout,Male,Sudan,(231)982-2833,Stevedore,18672,2001,Civil Engineering Degree (for harbor construction and maintenance)
539384,Spencer,King,Male,Uruguay,412-443-5611,Pilot,18594,1993,Marine Biology Degree (for roles related to environmental monitoring)
540631,Carlos,Donaldson,Male,Faroe Islands,(540)850-5140x5836,Port Operations Manager,18543,1970,Computer Science or Information Technology Degree (for roles involving maritime software development or IT support)
527199,Ronald,Murray,Male,Indonesia,501.468.2693x6368,Port Operations Manager,18664,2017,Electrical Engineering Degree (for electrical systems aboard ships)
541896,Matthew,Jordan,Male,Jamaica,+1-916-258-8456x496,Harbor Master,18541,2012,Port Management Degree
507283,Jonathan,Hardy,Male,Monaco,001-359-227-8010x014,Stevedore,18524,2014,Industrial Safety Degree (for safety management in maritime environments)
530305,Michael,Ellis,Male,Timor-Leste,001-661-398-1258x80638,Marine Surveyor,18537,1982,Marine Biology Degree (for roles related to environmental monitoring)
505549,Matthew,Thomas,Male,Mayotte,(538)681-5362x9240,Crane,18555,1995,Maritime Transportation Management Degree
536004,Eric,King,Male,Saudi Arabia,9905883466,Port Engineer,18639,1992,Nautical Science Degree
548589,Christopher,Douglas,Male,Palau,+1-776-364-8002x1872,Pilot,18579,1975,Electrical Engineering Degree (for electrical systems aboard ships)
534093,Gary,Petersen,Male,Wallis and Futuna,(257)854-7115,Port Security Officer,18548,2000,Electrical Engineering Degree (for electrical systems aboard ships)
512654,James,Pham,Male,South Africa,992-648-6347x44473,Stevedore,18645,2016,Nautical Science Degree
547328,Russell,Franklin,Male,Egypt,(453)548-4563,Pilot,18536,1997,Electrical Engineering Degree (for electrical systems aboard ships)
549779,Michael,Cobb,Male,Guatemala,001-549-282-3831,Crane,18645,2005,Logistics and Supply Chain Management Degree
536715,Eric,Smith,Male,American Samoa,(539)506-4430,Port Operations Manager,18501,2013,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
520136,Thomas,Brown,Male,Saint Barthelemy,+1-892-500-0543x0693,Harbor Master,18624,1982,Maritime Law Degree
545674,Nicholas,Brown,Male,Costa Rica,+1-945-509-5634x18705,Marine Surveyor,18538,1971,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
519858,Jose,Gilbert,Male,Guinea-Bissau,518.677.4693x19037,Marine Surveyor,18594,1972,Industrial Safety Degree (for safety management in maritime environments)
511548,Johnny,Ryan,Male,Greece,884-861-7141,Stevedore,18571,2014,Environmental Science Degree (for roles related to pollution control and prevention)
524424,Philip,Kirk,Male,Uzbekistan,417-577-3495,Stevedore,18593,2017,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
513458,Garrett,Hardy,Male,Kenya,773-320-5308x8470,Stevedore,18575,2004,Electrical Engineering Degree (for electrical systems aboard ships)
528525,Derek,Torres,Male,Barbados,+1-891-709-9163x809,Port Engineer,18693,2000,Industrial Safety Degree (for safety management in maritime environments)
531814,Charles,Myers,Male,Pitcairn Islands,342.319.1035x015,Port Security Officer,18695,2020,Civil Engineering Degree (for harbor construction and maintenance)
517659,Joshua,Cooper,Male,Syrian Arab Republic,001-655-836-7774x1937,Marine Surveyor,18602,2020,Industrial Safety Degree (for safety management in maritime environments)
504382,Thomas,Graham,Male,Swaziland,955.514.8207x390,Stevedore,18581,1986,Port Management Degree
515441,Timothy,Ochoa,Male,Mauritania,3813575100,Marine Surveyor,18516,1988,Maritime Law Degree
513368,Michael,Johnson,Male,Turks and Caicos Islands,001-236-447-7245x5534,Port CaptainDock Master,18528,2008,Civil Engineering Degree (for harbor construction and maintenance)
527694,Xavier,Pugh,Male,Nepal,907.950.5340,Port Security Officer,18593,1990,International Business Degree (useful for port management and operations)
513498,John,Holloway,Male,Svalbard & Jan Mayen Islands,(446)394-5010x6424,Marine Surveyor,18553,1979,Maritime Law Degree
522902,Andrew,Barnes,Male,Kenya,642.850.8206x13187,Port Operations Manager,18640,1993,Maritime Law Degree
525057,John,Cohen,Male,Eritrea,001-748-477-0171x002,Marine Surveyor,18672,1977,Nautical Science Degree
519224,Robert,Price,Male,Russian Federation,(719)417-4226x68755,Port Engineer,18599,2005,Mechanical Engineering Degree (for engineering roles aboard ships)
530381,Matthew,Boyd,Male,Cyprus,538-696-9408,Port Operations Manager,18605,2020,Nautical Science Degree
539507,Casey,Jennings,Male,Comoros,562.366.9620x630,Port Security Officer,18615,1996,Maritime Transportation Management Degree
520212,Michael,Murphy,Male,Tuvalu,289-579-3177x559,Harbor Master,18545,1972,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
530921,Michael,Cisneros,Male,Costa Rica,+1-606-265-8548x8538,Harbor Master,18531,1978,Maritime Law Degree
546253,Roy,Morris,Male,Wallis and Futuna,221-390-2970,Pilot,18624,2005,Nautical Science Degree
531459,Carlos,Harris,Male,Bolivia,263.590.2005,Harbor Master,18584,2018,Nautical Science Degree
527319,Michael,Fox,Male,Svalbard & Jan Mayen Islands,374.610.5315,Stevedore,18592,1986,Marine Biology Degree (for roles related to environmental monitoring)
516299,Edward,Greene,Male,United Kingdom,+1-522-269-9056x926,Crane,18672,1992,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
502957,David,Powell,Male,United States Virgin Islands,963-942-9723,Crane,18662,1990,Civil Engineering Degree (for harbor construction and maintenance)
541792,Daniel,Johnson,Male,Burkina Faso,5374809774,Marine Surveyor,18542,2000,Port Management Degree
513987,Robert,Hamilton,Male,Kyrgyz Republic,4535455468,Port Engineer,18567,2015,Logistics and Supply Chain Management Degree
523730,Anthony,Campbell,Male,Paraguay,863.406.0092x76183,Port Operations Manager,18590,2024,Maritime Transportation Management Degree
532541,Jeff,Holmes,Male,Guam,(354)440-5088x15621,Crane,18541,1987,Mechanical Engineering Degree (for engineering roles aboard ships)
549287,Larry,Rivera,Male,Angola,(859)213-9765x7513,Stevedore,18513,1985,International Business Degree (useful for port management and operations)
503036,David,Cordova,Male,Korea,665.997.9392x0402,Port Security Officer,18547,1995,Communication or Public Relations Degree (useful for roles involving public relations or communications within port authorities)
515399,Stephen,Harrison,Male,Cote d'Ivoire,896-713-0335x521,Port Engineer,18646,1977,Industrial Safety Degree (for safety management in maritime environments)
524696,John,Clark,Male,Nepal,932-340-3392,Pilot,18621,1978,Maritime Transportation Management Degree
534001,John,Allen,Male,Oman,001-525-867-4345x23811,Marine Surveyor,18681,1983,Mechanical Engineering Degree (for engineering roles aboard ships)
541235,Jose,Pearson,Male,Suriname,001-392-322-5510,Port Security Officer,18538,1980,Marine Engineering Degree
504568,Kenneth,Gordon,Male,Saint Vincent and the Grenadines,699-744-4790,Port Operations Manager,18700,1976,Maritime Studies Degree
518095,Gregory,Moore,Male,Libyan Arab Jamahiriya,464-249-8571x4816,Port CaptainDock Master,18524,2008,Industrial Safety Degree (for safety management in maritime environments)
519853,Christopher,Williams,Male,North Macedonia,768.664.6364x3812,Port CaptainDock Master,18567,2004,Industrial Safety Degree (for safety management in maritime environments)
537155,Darrell,Burke,Male,Azerbaijan,412-733-3998,Port CaptainDock Master,18658,2011,Naval Architecture Degree
520435,John,Vargas,Male,Sudan,001-839-600-9894,Harbor Master,18662,2015,Logistics and Supply Chain Management Degree
500427,Zachary,Olson,Male,Vietnam,911.236.6929x96652,Port CaptainDock Master,18675,2015,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
528920,Phillip,Roberts,Male,Turkey,529-224-1722,Port Engineer,18530,2019,Port Management Degree
510024,Timothy,Quinn,Male,United States Minor Outlying Islands,220-767-7200x74494,Port Operations Manager,18548,2016,Naval Architecture Degree
533021,Michael,Ball,Male,Panama,384.336.6912,Port Security Officer,18585,1975,Computer Science or Information Technology Degree (for roles involving maritime software development or IT support)
504044,Barry,Lane,Male,Eritrea,(294)903-4992,Port CaptainDock Master,18519,2007,Maritime Law Degree
541360,Mark,Gomez,Male,Puerto Rico,+1-797-959-0209x252,Port Engineer,18684,2008,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
531437,John,Daugherty,Male,Saint Martin,623.390.0104x46225,Port Security Officer,18657,2003,Logistics and Supply Chain Management Degree
521066,Jason,Wood,Male,Greenland,(425)426-6277x0876,Port Engineer,18684,2003,Port Management Degree
515252,Jacob,Miller,Male,Sudan,262-312-5606,Port Engineer,18540,1982,International Business Degree (useful for port management and operations)
521419,Keith,Williams,Male,Albania,912.693.5059x70755,Port Engineer,18519,1987,Nautical Science Degree
545937,Matthew,Rivera,Male,Korea,+1-219-272-8296x4637,Port Security Officer,18632,2021,Civil Engineering Degree (for harbor construction and maintenance)
527879,Kevin,Woods,Male,North Macedonia,890-247-1898,Crane,18608,1999,Geography or Geospatial Sciences Degree (for roles related to navigation and charting)
526086,Dylan,Mccann,Male,Luxembourg,+1-374-272-5560x23729,Harbor Master,18509,1974,Industrial Safety Degree (for safety management in maritime environments)
522895,Erik,Stewart,Male,Guadeloupe,+1-324-917-9874x3074,Port Engineer,18528,1990,Maritime Law Degree
504010,Timothy,Silva,Male,France,480-443-8730x86788,Port CaptainDock Master,18529,2000,Maritime Transportation Management Degree
547925,Evan,Goodman,Male,Saint Barthelemy,001-927-293-2686x425,Crane,18531,2023,Emergency Management Degree (useful for roles involving disaster preparedness and response in maritime environments)
510005,Ronald,Mitchell,Male,Algeria,251.539.4028,Marine Surveyor,18621,2017,Nautical Science Degree
